coachID,year,tmID,won,lost,post_wins,post_losses,awards
hugheda99w,4,CLE,17,17,1,2,0
hugheda99w,6,SAS,7,27,0,0,0
hugheda99w,7,SAS,13,21,0,0,0
hugheda99w,8,SAS,20,14,2,3,1
hugheda99w,9,SAS,24,10,4,5,0
hugheda99w,10,SAS,15,19,1,2,0
jenkica99w,7,MIN,1,10,0,0,0
kenlaje99w,9,WAS,2,10,0,0,0
keyst99wc,9,CHI,12,22,0,0,0
keyst99wc,10,CHI,16,18,0,0,0
laceytr99w,4,CHA,18,16,0,2,0
laceytr99w,5,CHA,16,18,0,0,0
laceytr99w,6,CHA,3,21,0,0,0
laimbbi01w,3,DET,9,13,0,0,0
laimbbi01w,4,DET,25,9,6,2,1
laimbbi01w,5,DET,17,17,1,2,0
laimbbi01w,6,DET,16,18,0,2,0
laimbbi01w,7,DET,23,11,7,3,0
laimbbi01w,8,DET,24,10,6,5,0
laimbbi01w,9,DET,22,12,7,2,0
laimbbi01w,10,DET,1,2,0,0,0
liebena01w,1,DET,14,18,0,0,0
maherto99w,2,WAS,10,22,0,0,0
mahorri01w,10,DET,17,14,3,2,0
mcconsu01w,4,MIN,18,16,1,2,0
mcconsu01w,5,MIN,18,16,0,2,1
mcconsu01w,6,MIN,14,20,0,0,0
mcconsu01w,7,MIN,9,14,0,0,0
mchugma99w,2,SAC,14,6,3,2,0
mchugma99w,3,SAC,14,18,0,0,0
mchugma99w,4,SAC,7,11,0,0,0
meadoma99w,9,ATL,4,30,0,0,0
meadoma99w,10,ATL,18,16,0,2,1
millech99w,1,PHO,20,12,0,2,0
overtbo99w,8,CHI,14,20,0,0,0
peckca99wc,1,CON,16,16,1,2,0
peckca99wc,2,CON,13,19,0,0,0
plankju99w,10,WAS,16,18,0,2,0
rollitr01w,8,WAS,16,14,0,0,0
rollitr01w,9,WAS,8,14,0,0,0
rothsro99w,1,MIA,13,19,0,0,0
rothsro99w,2,MIA,20,12,1,2,0
rothsro99w,3,MIA,15,17,0,0,0
sharpli99w,3,PHO,5,17,0,0,0
shumajo01w,4,PHO,8,26,0,0,0
stanlma99w,3,WAS,17,15,3,2,1
stanlma99w,4,WAS,9,25,0,0,0
thibami99w,4,CON,18,16,2,2,0
thibami99w,5,CON,18,16,5,3,0
thibami99w,6,CON,26,8,5,3,0
thibami99w,7,CON,26,8,3,2,1
thibami99w,8,CON,18,16,1,2,0
thibami99w,9,CON,21,13,1,2,1
thibami99w,10,CON,16,18,0,0,0
thompka99w,5,LAS,11,3,1,2,0
thompka99w,8,HOU,13,21,0,0,0
thompka99w,9,HOU,17,17,0,0,0
vandehe99w,3,MIN,4,9,0,0,0
walkeda01w,1,WAS,5,7,0,2,0
weisery99w,5,LAS,11,3,1,2,0
westhpa99w,7,PHO,18,16,0,0,0
westhpa99w,8,PHO,23,11,7,2,0
whisejo99w,4,SAC,12,4,3,3,0
whisejo99w,5,SAC,18,16,3,3,0
whisejo99w,6,SAC,25,9,7,1,1
whisejo99w,7,SAC,21,13,6,3,0
whisejo99w,10,SAC,9,12,0,0,0
willifr99w,1,SAS,18,14,0,0,0
willifr99w,2,SAS,5,8,0,0,0
willigr99w,2,DET,10,22,0,0,0
willigr99w,3,DET,0,10,0,0,0
wintebr01w,5,IND,15,19,0,0,0
wintebr01w,6,IND,21,13,2,2,0
wintebr01w,7,IND,21,13,0,2,0
wintebr01w,8,IND,21,13,3,3,0
zierddo99w,8,MIN,10,24,0,0,0
zierddo99w,9,MIN,16,18,0,0,0
