year,tmID,confID,rank,playoff,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,wonPost,lostPost,wonPointsPost,lostPointsPost,awards_players,awards_coaches,offensive_efficiency,defensive_efficiency,play_percent,factors4,possession,opponent_possession,avg_pie,avg_per,avg_height,avg_weight,per_o_fgm,per_o_ftm,per_o_3pm,per_d_fgm,per_d_ftm,per_d_3pm
2,CON,EA,3.0,N,319.0,606.0,473.0,583.0,255.0,486.0,130.0,2208.0,348.0,669.0,536.0,637.0,264.0,500.0,108.0,2233.0,0.5,0.5,11.0,5.0,5.0,11.0,13.0,8.0,6500.0,1,2,0,1,0,0,14.89,43.11,0.25,333.36,2225.51,2240.45,0.0,0.0,0.0,0.0,0.44,0.73,0.34,0.43,0.76,0.34
3,CON,EA,5.0,N,356.0,614.0,452.0,643.0,320.0,532.0,125.0,2140.0,316.0,659.0,534.0,600.0,298.0,546.0,114.0,2205.0,0.41,0.59,10.0,6.0,3.0,13.0,9.0,12.0,6450.0,0,0,0,0,0,0,38.02,22.69,0.22,307.37,2254.35,2234.11,0.14500000000000002,20.77024525714411,72.125,174.375,0.4,0.73,0.33,0.44,0.72,0.36
4,CON,EA,5.0,Y,320.0,595.0,446.0,669.0,295.0,456.0,113.0,2254.0,362.0,684.0,519.0,637.0,251.0,541.0,108.0,2255.0,0.5,0.5,10.0,6.0,6.0,10.0,13.0,8.0,6525.0,0,0,0,0,0,0,12.72,43.43,0.25,323.36,2240.87,2241.52,0.09,17.35991873178538,72.75,174.16666666666666,0.42,0.76,0.31,0.43,0.74,0.37
5,CON,EA,3.0,Y,333.0,762.0,520.0,663.0,270.0,434.0,111.0,2384.0,366.0,812.0,553.0,669.0,252.0,476.0,88.0,2409.0,0.53,0.47,10.0,7.0,8.0,9.0,11.0,13.0,6875.0,2,2,2,0,0,0,44.78,-134.73,0.24,345.75,2387.75,2409.72,0.10600000000000001,20.898394043988723,71.9090909090909,169.0909090909091,0.41,0.74,0.32,0.41,0.76,0.32
6,CON,EA,1.0,Y,321.0,724.0,572.0,610.0,299.0,462.0,96.0,2335.0,306.0,757.0,565.0,627.0,239.0,492.0,113.0,2304.0,0.53,0.47,10.0,7.0,8.0,9.0,14.0,6.0,6900.0,5,3,4,1,1,0,25.77,39.34,0.25,350.55,2353.54,2347.74,0.11750000000000001,22.40054114176555,71.5,170.66666666666666,0.43,0.74,0.32,0.43,0.74,0.38
7,CON,EA,1.0,Y,322.0,788.0,573.0,624.0,236.0,452.0,130.0,2474.0,350.0,728.0,495.0,675.0,258.0,442.0,79.0,2244.0,0.76,0.24,14.0,3.0,12.0,5.0,13.0,7.0,6800.0,5,3,4,1,1,0,22.76,109.14,0.26,366.55,2359.41,2357.34,0.126,20.063225891515657,72.52222222222223,179.22222222222223,0.45,0.74,0.35,0.4,0.75,0.3
8,CON,EA,1.0,Y,342.0,926.0,630.0,530.0,252.0,514.0,153.0,2683.0,370.0,783.0,528.0,646.0,273.0,486.0,103.0,2417.0,0.76,0.24,14.0,3.0,12.0,5.0,15.0,5.0,6825.0,3,2,2,1,1,1,243.91,161.13,0.25,392.96,2577.6,2585.28,0.13,25.582015616101447,72.27000000000001,177.5,0.44,0.81,0.34,0.4,0.72,0.32
9,CON,EA,3.0,Y,354.0,868.0,619.0,641.0,272.0,540.0,156.0,2675.0,337.0,842.0,581.0,633.0,246.0,524.0,85.0,2593.0,0.53,0.47,8.0,9.0,10.0,7.0,10.0,10.0,6925.0,1,2,0,1,0,0,53.93,35.8,0.24,400.55,2672.26,2668.26,0.11200000000000002,23.037528681840623,72.1888888888889,176.55555555555554,0.43,0.78,0.34,0.42,0.76,0.34
10,CON,EA,2.0,N,370.0,869.0,607.0,629.0,211.0,487.0,97.0,2690.0,360.0,840.0,554.0,703.0,252.0,499.0,104.0,2541.0,0.62,0.38,13.0,4.0,8.0,9.0,13.0,7.0,6850.0,1,2,0,1,0,1,60.97,71.14,0.24,386.16,2612.28,2595.57,0.11,23.493412579757088,71.33333333333333,168.66666666666666,0.42,0.75,0.33,0.42,0.74,0.32
11,CON,EA,6.0,0,358.0,826.0,608.0,677.0,250.0,453.0,130.0,2651.0,329.0,945.0,525.0,684.0,248.0,549.0,125.0,2654.0,0.47,0.53,12.0,5.0,4.0,13.0,10.0,12.0,6975.0,0,0,0,0,0,0,30.65,366.57,0.24,386.54,2669.26,2672.87,0.098,24.96190071578248,71.3,167.9,0.41,0.75,0.32,0.43,0.79,0.32
2,DET,EA,5.0,N,341.0,644.0,503.0,701.0,260.0,530.0,88.0,2331.0,331.0,640.0,513.0,672.0,284.0,543.0,148.0,2426.0,0.44,0.56,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,0,0,0,0,0,0,12.23,10.98,0.25,347.36,2377.5,2367.24,0.0,0.0,0.0,0.0,0.44,0.74,0.28,0.46,0.74,0.37
3,DET,EA,7.0,N,324.0,621.0,469.0,602.0,225.0,498.0,82.0,2103.0,279.0,702.0,438.0,591.0,262.0,483.0,109.0,2269.0,0.31,0.69,6.0,10.0,4.0,12.0,7.0,14.0,6550.0,0,0,0,0,0,0,31.16,18.37,0.23,309.76,2233.42,2205.62,0.10800000000000001,18.908903395231953,71.85714285714286,166.85714285714286,0.4,0.76,0.35,0.46,0.77,0.37
4,DET,EA,8.0,Y,360.0,719.0,478.0,609.0,201.0,541.0,132.0,2114.0,314.0,669.0,465.0,637.0,277.0,443.0,139.0,2266.0,0.28,0.72,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,0,0,0,0,0,0,-79.59,20.38,0.22,306.57,2290.98,2284.03,0.08,15.804294248267592,71.0,167.22222222222223,0.4,0.73,0.3,0.42,0.77,0.33
5,DET,EA,1.0,Y,379.0,851.0,545.0,605.0,263.0,608.0,158.0,2553.0,390.0,674.0,504.0,774.0,309.0,497.0,129.0,2395.0,0.74,0.26,13.0,4.0,12.0,5.0,18.0,6.0,6900.0,6,2,6,0,2,1,42.49,26.13,0.23,360.98,2516.24,2532.13,0.11,20.521413889784125,71.3076923076923,159.46153846153845,0.45,0.71,0.39,0.4,0.74,0.3
6,DET,EA,3.0,Y,397.0,773.0,564.0,648.0,277.0,513.0,148.0,2366.0,325.0,730.0,515.0,728.0,289.0,496.0,131.0,2381.0,0.5,0.5,8.0,9.0,9.0,8.0,11.0,9.0,6850.0,1,2,0,1,0,0,45.08,32.63,0.23,349.76,2459.02,2435.48,0.124,22.220354265170677,72.1,165.2,0.42,0.7,0.3,0.41,0.77,0.36
7,DET,EA,4.0,Y,412.0,803.0,474.0,761.0,241.0,571.0,155.0,2247.0,273.0,745.0,473.0,744.0,272.0,520.0,136.0,2287.0,0.47,0.53,12.0,5.0,4.0,13.0,11.0,9.0,6925.0,0,2,0,0,0,0,-51.73,23.39,0.22,332.56,2457.18,2422.81,0.132,20.517264299292503,71.42857142857143,163.42857142857142,0.4,0.66,0.32,0.4,0.75,0.34
8,DET,EA,2.0,Y,406.0,880.0,572.0,711.0,213.0,537.0,137.0,2527.0,324.0,760.0,474.0,733.0,275.0,506.0,108.0,2384.0,0.68,0.32,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,7,3,7,0,2,0,-65.2,36.74,0.23,367.76,2572.07,2549.64,0.1,19.096978520908827,72.91666666666667,173.91666666666666,0.41,0.74,0.33,0.39,0.75,0.31
9,DET,EA,1.0,Y,380.0,931.0,563.0,702.0,227.0,564.0,117.0,2697.0,309.0,780.0,546.0,767.0,276.0,529.0,117.0,2540.0,0.71,0.29,12.0,5.0,12.0,5.0,14.0,6.0,6850.0,6,5,4,2,2,0,421.41,20.83,0.24,388.96,2678.78,2686.0,0.11000000000000001,19.265938723168304,72.27272727272727,166.45454545454547,0.43,0.76,0.36,0.4,0.76,0.33
10,DET,EA,1.0,Y,405.0,843.0,604.0,724.0,278.0,496.0,118.0,2672.0,324.0,761.0,520.0,762.0,229.0,572.0,119.0,2522.0,0.65,0.35,14.0,3.0,8.0,9.0,16.0,4.0,6875.0,7,2,7,0,1,0,50.07,22.4,0.24,389.76,2604.83,2615.62,0.1225,25.060791406277687,73.0,172.69230769230768,0.42,0.75,0.35,0.41,0.76,0.35
11,DET,EA,3.0,Y,373.0,853.0,575.0,766.0,261.0,546.0,97.0,2652.0,320.0,781.0,524.0,716.0,279.0,531.0,110.0,2644.0,0.53,0.47,11.0,6.0,7.0,10.0,11.0,11.0,6975.0,3,2,2,1,0,0,37.23,16.66,0.24,392.16,2656.55,2658.93,0.11200000000000002,23.733946775708013,72.86666666666666,174.48,0.43,0.75,0.35,0.41,0.78,0.34
2,HOU,WE,2.0,Y,273.0,724.0,494.0,554.0,284.0,440.0,104.0,2475.0,290.0,612.0,473.0,648.0,233.0,480.0,85.0,2066.0,0.84,0.16,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,6,0,6,0,4,0,14.31,19.22,0.27,356.56,2246.36,2257.46,0.0,0.0,0.0,0.0,0.47,0.82,0.35,0.41,0.73,0.3
3,HOU,WE,4.0,Y,348.0,710.0,426.0,509.0,251.0,436.0,95.0,2047.0,297.0,685.0,452.0,561.0,248.0,433.0,120.0,1994.0,0.59,0.41,11.0,5.0,8.0,8.0,13.0,8.0,6450.0,0,2,0,0,1,0,-27.72,-98.52,0.22,298.96,2143.83,2151.13,0.0825,17.41177746842961,72.42857142857143,172.57142857142858,0.39,0.77,0.32,0.39,0.72,0.33
4,HOU,WE,2.0,Y,299.0,702.0,450.0,467.0,260.0,455.0,126.0,2072.0,309.0,664.0,446.0,606.0,262.0,464.0,71.0,1892.0,0.75,0.25,14.0,2.0,10.0,6.0,16.0,5.0,6425.0,1,2,0,1,2,0,181.75,-27.37,0.23,302.16,2103.74,2144.52,0.1375,19.075681008420744,70.83333333333333,162.08333333333334,0.42,0.77,0.33,0.38,0.73,0.31
5,HOU,WE,2.0,N,266.0,764.0,465.0,490.0,231.0,450.0,129.0,2244.0,298.0,708.0,516.0,634.0,227.0,430.0,122.0,2142.0,0.59,0.41,14.0,3.0,6.0,11.0,14.0,10.0,6825.0,1,2,0,1,2,0,36.19,141.67,0.24,331.35,2269.44,2264.76,0.146,23.293627499998074,72.25,163.5,0.43,0.79,0.33,0.41,0.73,0.34
6,HOU,WE,6.0,Y,311.0,724.0,451.0,555.0,242.0,484.0,107.0,2177.0,335.0,720.0,539.0,655.0,258.0,471.0,129.0,2211.0,0.38,0.62,9.0,8.0,4.0,13.0,7.0,15.0,6850.0,0,0,0,0,0,0,64.79,174.92,0.23,319.35,2281.54,2282.53,0.11200000000000002,21.694623344908596,72.08333333333333,161.33333333333334,0.41,0.74,0.34,0.42,0.74,0.35
7,HOU,WE,3.0,Y,276.0,684.0,467.0,581.0,246.0,425.0,105.0,2309.0,274.0,687.0,541.0,685.0,197.0,481.0,111.0,2263.0,0.56,0.44,11.0,6.0,8.0,9.0,11.0,11.0,6875.0,2,3,2,0,2,0,11.34,17.02,0.26,344.15,2277.7,2301.08,0.11000000000000001,18.30343868026165,71.7,158.3,0.45,0.76,0.3,0.44,0.75,0.35
8,HOU,WE,3.0,N,303.0,822.0,532.0,617.0,252.0,566.0,84.0,2507.0,337.0,787.0,526.0,705.0,298.0,519.0,89.0,2449.0,0.53,0.47,12.0,5.0,6.0,11.0,11.0,9.0,6925.0,0,2,0,0,4,0,24.74,32.83,0.24,371.35,2552.95,2577.22,0.096,20.554933016319023,71.63636363636364,160.9090909090909,0.44,0.71,0.36,0.42,0.72,0.3
9,HOU,WE,5.0,N,374.0,770.0,558.0,655.0,289.0,633.0,109.0,2510.0,342.0,721.0,588.0,677.0,310.0,568.0,160.0,2628.0,0.38,0.62,7.0,10.0,6.0,11.0,10.0,12.0,6800.0,0,0,0,0,0,0,28.45,14.82,0.23,366.17,2616.23,2623.07,0.076,20.359290039144433,72.16666666666667,166.25,0.43,0.77,0.35,0.42,0.8,0.35
10,HOU,WE,5.0,N,376.0,803.0,556.0,728.0,295.0,599.0,120.0,2561.0,349.0,743.0,542.0,744.0,313.0,555.0,165.0,2606.0,0.5,0.5,13.0,4.0,4.0,13.0,10.0,10.0,6925.0,0,0,0,0,0,0,37.75,16.85,0.23,369.37,2649.45,2626.21,0.1125,23.45331770035713,71.9,166.2,0.42,0.76,0.32,0.41,0.75,0.38
2,IND,EA,7.0,N,285.0,647.0,501.0,642.0,271.0,518.0,126.0,2213.0,321.0,633.0,528.0,612.0,267.0,476.0,75.0,2290.0,0.28,0.72,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,0,0,0,0,0,0,19.35,12.77,0.24,318.57,2228.51,2224.67,0.0,0.0,0.0,0.0,0.43,0.75,0.37,0.45,0.75,0.3
3,IND,EA,6.0,Y,286.0,649.0,458.0,600.0,242.0,491.0,118.0,2153.0,306.0,660.0,565.0,616.0,256.0,466.0,140.0,2249.0,0.31,0.69,7.0,9.0,3.0,13.0,7.0,14.0,6475.0,0,0,0,0,0,0,24.74,15.67,0.23,304.96,2195.56,2222.9,0.07333333333333333,16.132069347746057,71.8,166.6,0.42,0.8,0.35,0.45,0.71,0.36
4,IND,EA,4.0,N,315.0,633.0,447.0,559.0,268.0,438.0,100.0,2097.0,288.0,644.0,507.0,647.0,226.0,470.0,145.0,2129.0,0.5,0.5,10.0,6.0,6.0,10.0,12.0,9.0,6425.0,1,2,0,1,1,0,54.9,22.81,0.23,292.57,2115.07,2131.51,0.11,17.934243651786886,70.5,160.0,0.4,0.78,0.33,0.44,0.71,0.35
5,IND,EA,5.0,N,334.0,654.0,539.0,668.0,299.0,474.0,121.0,2337.0,309.0,677.0,570.0,631.0,227.0,512.0,170.0,2321.0,0.47,0.53,11.0,6.0,5.0,12.0,12.0,12.0,6875.0,0,0,0,0,0,0,23.67,17.62,0.24,335.76,2302.77,2296.05,0.132,21.964342890030085,70.58333333333333,161.16666666666666,0.42,0.8,0.35,0.44,0.77,0.37
6,IND,EA,6.0,Y,396.0,705.0,555.0,639.0,261.0,486.0,134.0,2198.0,281.0,688.0,514.0,603.0,268.0,466.0,162.0,2245.0,0.44,0.56,10.0,7.0,5.0,12.0,8.0,12.0,6850.0,0,0,0,0,1,0,-40.11,15.94,0.22,316.57,2261.95,2261.57,0.134,23.976554028245538,72.4,166.5,0.39,0.78,0.35,0.43,0.74,0.34
7,IND,EA,2.0,Y,341.0,671.0,493.0,668.0,336.0,477.0,95.0,2170.0,279.0,711.0,435.0,644.0,234.0,558.0,113.0,2133.0,0.62,0.38,14.0,3.0,7.0,10.0,14.0,6.0,6925.0,2,2,2,0,1,0,64.2,31.61,0.23,313.76,2261.57,2265.1,0.1375,21.214307485232297,72.25,170.625,0.4,0.76,0.32,0.43,0.72,0.34
8,IND,EA,3.0,Y,339.0,755.0,501.0,606.0,354.0,528.0,93.0,2435.0,288.0,773.0,507.0,685.0,259.0,617.0,105.0,2316.0,0.62,0.38,12.0,5.0,9.0,8.0,12.0,8.0,6850.0,0,2,0,0,2,0,31.86,34.08,0.23,349.36,2525.22,2513.24,0.124,21.05341501812881,71.125,168.875,0.41,0.77,0.31,0.43,0.74,0.31
9,IND,EA,2.0,Y,341.0,812.0,511.0,646.0,308.0,589.0,136.0,2480.0,369.0,795.0,475.0,663.0,280.0,610.0,114.0,2370.0,0.62,0.38,12.0,5.0,9.0,8.0,12.0,8.0,6875.0,3,3,2,1,1,0,97.33,-153.1,0.23,362.96,2579.02,2592.5,0.11000000000000001,18.298663446146637,72.0,171.27272727272728,0.42,0.77,0.34,0.4,0.74,0.33
10,IND,EA,4.0,Y,349.0,778.0,500.0,727.0,324.0,585.0,165.0,2473.0,338.0,833.0,477.0,659.0,294.0,608.0,130.0,2457.0,0.5,0.5,11.0,6.0,6.0,11.0,12.0,8.0,6950.0,1,2,0,1,1,0,65.7,80.19,0.23,350.56,2595.49,2599.33,0.1,20.823640524507105,71.75,170.25,0.4,0.75,0.34,0.42,0.76,0.33
11,IND,EA,1.0,0,342.0,780.0,527.0,692.0,373.0,531.0,117.0,2606.0,318.0,849.0,498.0,700.0,271.0,638.0,116.0,2501.0,0.65,0.35,14.0,3.0,8.0,9.0,17.0,5.0,6925.0,6,4,4,2,1,0,27.08,53.81,0.23,356.16,2620.07,2632.78,0.125,22.480865924781757,71.92857142857143,173.64285714285714,0.4,0.82,0.33,0.43,0.76,0.32
2,LAS,WE,1.0,Y,308.0,783.0,586.0,705.0,271.0,466.0,156.0,2417.0,300.0,678.0,445.0,650.0,243.0,485.0,105.0,2169.0,0.88,0.12,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,2,2,2,0,0,1,32.26,21.17,0.25,344.56,2322.16,2354.38,0.0,0.0,0.0,0.0,0.44,0.79,0.33,0.4,0.72,0.3
3,LAS,WE,1.0,Y,350.0,755.0,596.0,616.0,281.0,438.0,138.0,2441.0,294.0,627.0,538.0,591.0,234.0,453.0,114.0,2166.0,0.88,0.12,16.0,0.0,12.0,4.0,19.0,2.0,6475.0,6,1,6,0,3,0,33.73,21.95,0.26,366.56,2285.15,2289.29,0.134,23.055846662565994,71.66666666666667,165.66666666666666,0.45,0.76,0.37,0.39,0.76,0.32
4,LAS,WE,1.0,Y,329.0,814.0,583.0,664.0,257.0,517.0,161.0,2452.0,314.0,645.0,508.0,623.0,275.0,453.0,111.0,2235.0,0.78,0.22,12.0,4.0,13.0,3.0,17.0,4.0,6475.0,6,0,6,0,2,0,77.11,18.24,0.24,356.57,2374.85,2365.98,0.135,23.903532022463054,72.27272727272727,169.27272727272728,0.45,0.74,0.38,0.39,0.74,0.31
5,LAS,WE,1.0,Y,336.0,813.0,587.0,682.0,242.0,470.0,161.0,2499.0,316.0,789.0,572.0,654.0,241.0,468.0,127.0,2432.0,0.71,0.29,11.0,6.0,13.0,4.0,17.0,7.0,6900.0,5,4,4,1,1,0,57.69,34.8,0.24,357.75,2469.43,2503.56,0.132,22.134331272359322,72.5,172.91666666666666,0.42,0.79,0.33,0.4,0.72,0.36
6,LAS,WE,1.0,Y,312.0,809.0,626.0,731.0,262.0,529.0,148.0,2495.0,339.0,727.0,532.0,704.0,288.0,523.0,114.0,2361.0,0.74,0.26,15.0,2.0,10.0,7.0,16.0,6.0,6975.0,1,2,0,1,2,0,24.78,28.16,0.24,361.76,2499.53,2509.29,0.146,23.418701944044187,72.0,171.875,0.44,0.73,0.38,0.39,0.73,0.34
7,LAS,WE,4.0,Y,321.0,683.0,551.0,737.0,264.0,492.0,136.0,2326.0,332.0,709.0,567.0,654.0,247.0,544.0,115.0,2345.0,0.5,0.5,11.0,6.0,6.0,11.0,12.0,10.0,6800.0,0,2,0,0,0,0,15.91,26.36,0.25,349.35,2390.59,2379.8,0.11400000000000002,19.205774214172852,72.45454545454545,169.27272727272728,0.43,0.72,0.32,0.42,0.74,0.35
8,LAS,WE,1.0,N,350.0,852.0,610.0,679.0,296.0,534.0,129.0,2575.0,336.0,746.0,565.0,636.0,284.0,556.0,128.0,2476.0,0.74,0.26,15.0,2.0,10.0,7.0,15.0,5.0,6825.0,2,3,2,0,3,0,32.41,22.88,0.24,384.95,2590.5,2612.39,0.122,20.08114407711598,72.4,166.1,0.44,0.74,0.29,0.4,0.74,0.34
9,LAS,WE,7.0,Y,356.0,783.0,554.0,732.0,245.0,571.0,107.0,2533.0,343.0,836.0,616.0,605.0,290.0,550.0,137.0,2708.0,0.29,0.71,5.0,12.0,5.0,12.0,6.0,16.0,6900.0,0,0,0,0,0,0,32.95,21.32,0.23,376.15,2684.04,2660.16,0.09000000000000001,19.69190348516354,72.53846153846153,165.0,0.41,0.79,0.35,0.43,0.76,0.36
10,LAS,WE,3.0,Y,386.0,896.0,613.0,713.0,251.0,608.0,216.0,2598.0,359.0,768.0,513.0,717.0,303.0,523.0,141.0,2523.0,0.59,0.41,12.0,5.0,8.0,9.0,12.0,8.0,7000.0,3,3,2,1,3,0,-207.51,27.59,0.23,381.76,2674.06,2692.26,0.075,17.319251598041333,71.7909090909091,165.0909090909091,0.42,0.75,0.31,0.38,0.75,0.34
